Plot,Section,Tag,DBH,Date,Species_code,Alive,Sapflux,Notes,JS_codes
Salt,Out-west,1857,5.2,2/24/19,FAGR,Yes,,,
Salt,Out-west,1858,4.8,2/24/19,FAGR,Yes,,,
Salt,Out-west,1859,7,2/24/19,FAGR,Yes,,,
Salt,Out-west,1860,35.9,2/24/19,LIST2,Yes,,,SP
Salt,Out-west,1861,39.9,2/24/19,LITU,Yes,,,
Salt,Out-west,1862,24.2,2/24/19,LITU,Yes,,,
Salt,Out-west,1863,9.2,2/24/19,FAGR,Yes,,,
Salt,Out-west,1864,23.5,2/24/19,FAGR,Yes,,,
Salt,Out-west,1865,34.1,2/24/19,ACRU,Yes,,,
Salt,Out-west,1866,2.4,2/24/19,FAGR,Yes,,,
Salt,Out-west,1867,3,2/24/19,FAGR,Yes,,,
Salt,Out-west,1868,32.5,2/24/19,FAGR,Yes,,,
Salt,Out-west,1869,19,2/24/19,ACRU,Yes,,,
Salt,Out-west,1870,51.6,2/24/19,LITU,Yes,,,
Salt,Out-west,1871,35.8,2/24/19,LITU,Yes,,,
Salt,Out-west,1872,9.4,2/24/19,FAGR,Yes,,,
Salt,Out-west,1873,46.6,2/24/19,LITU,Yes,,,
Salt,Out-west,1874,2.6,2/24/19,FAGR,Yes,,,
Salt,Out-west,1875,8.6,2/24/19,FAGR,Yes,,,
Salt,Out-west,1876,49.5,2/24/19,LIST2,Yes,,,"IR, SP"
Salt,Out-west,1877,20,2/24/19,LITU,Yes,,,SP
Salt,Out-west,1878,10.2,2/24/19,FAGR,Yes,,,
Salt,Out-west,1879,10.1,2/24/19,ACRU,Yes,,,SP
Salt,Out-west,1880,55.1,2/24/19,LITU,Yes,,,
Salt,Out-west,1881,10.7,2/24/19,FAGR,Yes,,,
Salt,Out-west,1882,7,2/24/19,FAGR,Yes,,,
Salt,Out-west,1883,10.8,2/24/19,FAGR,Yes,,,
Salt,Out-west,1884,6.2,2/24/19,FAGR,Yes,,Next to 1774,
Salt,Out-west,1885,40.6,2/24/19,LIST2,Yes,,Next to 1823,SP
